Specialization template;Primary template;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MaterializeFunctorImpl<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation,0> ;struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MaterializeFunctorImpl ;208900;208900;208900;0;1
struct std::_Decayed_cond_oper<double,double,void> ;struct std::_Decayed_cond_oper ;208275;191000;224400;11831;4
struct std::is_constructible<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > >,void *> *,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > >,void *> *> ;struct std::is_constructible ;208150;186100;230200;22050;2
struct std::_Gcd<1000,1000> ;struct std::_Gcd ;208125;193300;219500;9422;4
struct std::is_constructible<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &&,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > ;struct std::is_constructible ;208100;204100;210400;2839;3
struct std::_Maximum<16> ;struct std::_Maximum ;207600;198000;221300;9944;3
struct std::tuple_size<class std::tuple<char const * &&> > ;struct std::tuple_size ;207200;186200;228200;21000;2
class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> *__cdecl std::_Get_unwrapped<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer>*const &>(class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> *const &);decltype(auto) __cdecl std::_Get_unwrapped(_Iter &&);206966;196100;223200;11696;3
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation,class Microsoft::Cpp::BuildInsights::Activities::Function,class Microsoft::Cpp::BuildInsights::Activities::Pass1,class Microsoft::Cpp::BuildInsights::Activities::Pass2,class Microsoft::Cpp::BuildInsights::Activities::PreLTCGOptRef,class Microsoft::Cpp::BuildInsights::Activities::LTCG,class Microsoft::Cpp::BuildInsights::Activities::OptRef,class Microsoft::Cpp::BuildInsights::Activities::OptLBR,class Microsoft::Cpp::BuildInsights::Activities::OptICF,class Microsoft::Cpp::BuildInsights::Activities::C1DLL,class Microsoft::Cpp::BuildInsights::Activities::C2DLL,class Microsoft::Cpp::BuildInsights::Activities::WholeProgramAnalysis,class Microsoft::Cpp::BuildInsights::Activities::CodeGeneration,class Microsoft::Cpp::BuildInsights::Activities::BottomUp,class Microsoft::Cpp::BuildInsights::Activities::TopDown,class Microsoft::Cpp::BuildInsights::Activities::Thread> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;206700;206700;206700;0;1
const bool std::is_object_v;const bool std::is_object_v;206624;99600;422900;95110;41
struct std::is_trivially_copy_constructible<class <lambda_5b04ced4049247d028dd2b0acc74b1e0> > ;struct std::is_trivially_copy_constructible ;206400;206400;206400;0;1
struct std::pointer_traits<wchar_t *> ;struct std::pointer_traits ;206400;189800;223000;16600;2
const bool std::chrono::treat_as_floating_point_v;const bool std::chrono::treat_as_floating_point_v;206337;162700;383200;49028;29
struct std::is_constructible<struct std::_List_node<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,void *> *,struct std::_List_node<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,void *> *> ;struct std::is_constructible ;206200;206200;206200;0;1
char *__cdecl std::_Get_unwrapped<char*&>(char *&);decltype(auto) __cdecl std::_Get_unwrapped(_Iter &&);206025;177700;252800;28916;4
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Linker,class Microsoft::Cpp::BuildInsights::Activities::FrontEndPass,class Microsoft::Cpp::BuildInsights::Activities::BackEndPass,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation,class Microsoft::Cpp::BuildInsights::Activities::Function,class Microsoft::Cpp::BuildInsights::Activities::Pass1,class Microsoft::Cpp::BuildInsights::Activities::Pass2,class Microsoft::Cpp::BuildInsights::Activities::PreLTCGOptRef,class Microsoft::Cpp::BuildInsights::Activities::LTCG,class Microsoft::Cpp::BuildInsights::Activities::OptRef,class Microsoft::Cpp::BuildInsights::Activities::OptLBR,class Microsoft::Cpp::BuildInsights::Activities::OptICF,class Microsoft::Cpp::BuildInsights::Activities::C1DLL,class Microsoft::Cpp::BuildInsights::Activities::C2DLL,class Microsoft::Cpp::BuildInsights::Activities::WholeProgramAnalysis,class Microsoft::Cpp::BuildInsights::Activities::CodeGeneration,class Microsoft::Cpp::BuildInsights::Activities::BottomUp,class Microsoft::Cpp::BuildInsights::Activities::TopDown,class Microsoft::Cpp::BuildInsights::Activities::Thread> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;206000;206000;206000;0;1
struct std::is_volatile<unsigned int> ;struct std::is_volatile ;205900;205900;205900;0;1
class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity const &,class Microsoft::Cpp::BuildInsights::Activities::Activity const &> > ;class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler ;205900;205900;205900;0;1
struct std::is_constructible<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >,void *> *,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >,void *> * &> ;struct std::is_constructible ;205600;205600;205600;0;1
class std::_Uninitialized_backout_al<class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> > > ;class std::_Uninitialized_backout_al ;205200;192700;226500;15136;3
class std::_Yarn<wchar_t> ;class std::_Yarn ;205066;171200;254200;35562;3
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndPass> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;204800;204800;204800;0;1
class std::_Uninitialized_backout_al<class std::allocator<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IRelogger,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IRelogger> > > > ;class std::_Uninitialized_backout_al ;204466;190600;219000;11603;3
class std::_Uninitialized_backout_al<class std::allocator<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > > > ;class std::_Uninitialized_backout_al ;203800;182000;238700;24932;3
struct std::_Gcd<60,60> ;struct std::_Gcd ;203750;191800;226100;13195;4
struct std::is_nothrow_constructible<struct std::default_delete<class std::_Node_assert>,struct std::default_delete<class std::_Node_assert> > ;struct std::is_nothrow_constructible ;203600;203600;203600;0;1
const bool std::is_trivially_destructible_v;const bool std::is_trivially_destructible_v;203510;27300;2848700;623830;19
struct std::_Ptr_move_cat<class cxxopts::KeyValue *,class cxxopts::KeyValue *> ;struct std::_Ptr_move_cat ;203200;203200;203200;0;1
struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > ;struct std::_List_simple_types ;203200;139600;308900;75254;3
struct Microsoft::Cpp::BuildInsights::Internal::MakePlainEntityTypeGroupImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity const &,class Microsoft::Cpp::BuildInsights::Activities::Activity const &> > ;struct Microsoft::Cpp::BuildInsights::Internal::MakePlainEntityTypeGroupImpl ;203200;203200;203200;0;1
struct std::is_nothrow_default_constructible<struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > ;struct std::is_nothrow_default_constructible ;203016;145600;386700;85285;6
class std::_Uninitialized_backout_al<class std::allocator<unsigned int> > ;class std::_Uninitialized_backout_al ;202800;202800;202800;0;1
struct std::_Iterator_traits_pointer_base<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > > >,1> ;struct std::_Iterator_traits_pointer_base ;202700;202700;202700;0;1
struct std::_Gcd<1000000,1> ;struct std::_Gcd ;202650;202300;203000;350;2
const struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> **__cdecl std::_Get_unwrapped<const struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate>**const &>(const struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> **const &);decltype(auto) __cdecl std::_Get_unwrapped(_Iter &&);202500;202500;202500;0;1
struct std::pointer_traits<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> const *> ;struct std::pointer_traits ;202100;202100;202100;0;1
struct std::iterator_traits<class std::_Tree_unchecked_const_iterator<class std::_Tree_val<struct std::_Tree_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct cxxopts::HelpGroupDetails> > >,struct std::_Iterator_base0> > ;struct std::iterator_traits ;202000;202000;202000;0;1
struct std::is_copy_constructible<class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > > ;struct std::is_copy_constructible ;201850;112800;290900;89050;2
class std::_Uninitialized_backout_al<class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> > > ;class std::_Uninitialized_backout_al ;200933;185000;224900;17251;3
struct std::is_nothrow_constructible<class std::_List_val<struct std::_List_simple_types<unsigned __int64> > > ;struct std::is_nothrow_constructible ;200900;200900;200900;0;1
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Compiler,class Microsoft::Cpp::BuildInsights::Activities::Linker,class Microsoft::Cpp::BuildInsights::Activities::FrontEndPass,class Microsoft::Cpp::BuildInsights::Activities::BackEndPass,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation,class Microsoft::Cpp::BuildInsights::Activities::Function,class Microsoft::Cpp::BuildInsights::Activities::Pass1,class Microsoft::Cpp::BuildInsights::Activities::Pass2,class Microsoft::Cpp::BuildInsights::Activities::PreLTCGOptRef,class Microsoft::Cpp::BuildInsights::Activities::LTCG,class Microsoft::Cpp::BuildInsights::Activities::OptRef,class Microsoft::Cpp::BuildInsights::Activities::OptLBR,class Microsoft::Cpp::BuildInsights::Activities::OptICF,class Microsoft::Cpp::BuildInsights::Activities::C1DLL,class Microsoft::Cpp::BuildInsights::Activities::C2DLL,class Microsoft::Cpp::BuildInsights::Activities::WholeProgramAnalysis,class Microsoft::Cpp::BuildInsights::Activities::CodeGeneration,class Microsoft::Cpp::BuildInsights::Activities::BottomUp,class Microsoft::Cpp::BuildInsights::Activities::TopDown,class Microsoft::Cpp::BuildInsights::Activities::Thread> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;200700;200700;200700;0;1
struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity const &,class Microsoft::Cpp::BuildInsights::Activities::Activity const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity,class Microsoft::Cpp::BuildInsights::Activities::Activity>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MaterializeFunctorImpl<class Microsoft::Cpp::BuildInsights::Activities::Activity,0> ;struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity const &,class Microsoft::Cpp::BuildInsights::Activities::Activity const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity,class Microsoft::Cpp::BuildInsights::Activities::Activity>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MaterializeFunctorImpl ;200600;200600;200600;0;1
struct std::is_nothrow_move_assignable<class TimelineEntry const *> ;struct std::is_nothrow_move_assignable ;200400;200400;200400;0;1
struct std::is_copy_constructible<class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > > > > ;struct std::is_copy_constructible ;199300;199300;199300;0;1
